File_Size,Index_of_Coincidence,Entropy,Nasty_Sig_Count,Super_Nasty_Sig_Count,Eval_Uses,Compression_Ratio,Longest_Word_Length,NonPrintableChars,ObfuscatedPHP,PasswordProtection,HiddenInAFile,DangerousPHP,DodgyPHP,SuspiciousEncoding,DodgyStrings,CloudflareBypass,Websites,Label
1652,0.03080090869,6.117688701,0,0,0,0.6604116223,91,0,1,0,0,0,0,0,0,0,0,1
1386,0.02357458025,6.146413506,0,0,0,0.7063492063,82,0,0,0,0,0,0,0,0,0,0,1
1851,0.03438725598,6.079826466,0,0,0,0.6477579687,92,0,0,0,0,0,0,0,0,0,0,1
1093,0.02031576231,6.116210501,0,0,0,0.725526075,80,0,0,0,0,0,0,0,0,0,0,1
1096,0.0204146252,6.172263479,0,0,0,0.7290145985,85,0,2,0,0,0,0,0,0,0,0,1
1368,0.02279503929,6.131221695,0,0,0,0.7097953216,91,0,2,0,0,0,0,0,0,0,0,1
1874,0.02629058331,6.172829895,0,0,0,0.6616862327,80,0,0,0,0,0,0,0,0,0,0,1
1436,0.02966816457,6.137519593,0,0,0,0.6747910864,90,0,0,0,0,0,0,0,0,0,0,1
1591,0.02704995474,6.175101146,0,0,0,0.6668761785,80,0,0,0,0,0,0,0,0,0,0,1
1660,0.0319019296,6.158023617,0,0,0,0.6554216867,80,0,0,0,0,0,0,0,0,0,0,1
1179,0.0218855437,6.135067085,0,0,0,0.7285835454,85,0,0,0,0,0,0,0,0,0,0,1
60247,0.01566085812,6.004509678,2,0,0,0.7576974787,60079,0,1,0,0,1,0,0,0,0,0,1
43294,0.02004365548,5.840923811,2,0,0,0.7166350996,43287,0,1,0,0,1,1,0,0,0,0,1
43294,0.02004365548,5.840923811,2,0,0,0.7166350996,43287,0,1,0,0,1,1,0,0,0,0,1
43525,0.02009452898,5.837840399,2,0,0,0.7164847789,43519,0,1,0,0,1,1,0,0,0,0,1
43525,0.02009452898,5.837840399,2,0,0,0.7164847789,43519,0,1,0,0,1,1,0,0,0,0,1
496,0.02093515803,5.821639482,0,0,0,0.6935483871,153,0,4,0,0,1,0,0,0,0,0,1
2155,0.01420332754,6.169610382,0,0,0,0.7568445476,1782,0,4,0,0,1,0,0,0,0,0,1
44333,0.02010707746,5.835560533,2,0,0,0.7201181964,44327,0,1,0,0,1,1,0,0,0,0,1
90514,0.02116723554,5.741343997,0,0,0,0.3327882979,90192,0,0,0,0,0,0,0,0,0,0,1
1052,0.0245990601,6.147403789,0,0,0,0.6929657795,88,0,0,0,0,0,0,0,0,0,0,1
1521,0.01992889027,6.206551047,0,0,0,0.7120315582,84,0,0,0,0,0,0,0,0,0,0,1
1458,0.02624386506,6.098630051,0,0,0,0.7160493827,86,0,0,0,0,0,0,0,0,0,0,1
1513,0.02836964998,6.15085638,0,0,0,0.6966292135,89,0,0,0,0,0,0,0,0,0,0,1
1391,0.02734640469,6.093770135,0,0,0,0.6671459382,80,0,2,0,0,0,0,0,0,0,0,1
1209,0.02473309998,6.133369323,0,0,0,0.7088502895,86,0,0,0,0,0,0,0,0,0,0,1
1463,0.03276815344,6.156034274,0,0,0,0.6602870813,80,0,0,0,0,0,0,0,0,0,0,1
1386,0.03501232021,6.132970433,0,0,0,0.6587301587,80,0,0,0,0,0,0,0,0,0,0,1
1550,0.03634061517,6.056743578,0,0,0,0.6490322581,92,0,4,0,0,0,0,0,0,0,0,1
1383,0.02420334578,6.114115706,0,0,0,0.7071583514,86,0,0,0,0,0,0,0,0,0,0,1
1392,0.02302052604,6.177963172,0,0,0,0.6925287356,87,0,1,0,0,0,0,0,0,0,0,1
1281,0.02541349532,6.073492988,0,0,0,0.7041373927,80,0,0,0,0,0,0,0,0,0,0,1
1775,0.03388221097,6.154077003,0,0,0,0.6507042254,86,0,0,0,0,0,0,0,0,0,0,1
1681,0.03574048894,6.152823176,0,0,0,0.6525877454,80,0,0,0,0,0,0,0,0,0,0,1
1832,0.02385529181,6.158363384,0,0,0,0.6834061135,80,0,0,0,0,0,0,0,0,0,0,1
1559,0.03073379878,6.166791933,0,0,0,0.6510583708,81,0,1,0,0,0,0,0,0,0,0,1
1577,0.02592147913,6.160868005,0,0,0,0.6797717185,80,0,2,0,0,0,0,0,0,0,0,1
1429,0.02847577099,6.075703131,0,0,0,0.6745976207,80,0,0,0,0,0,0,0,0,0,0,1
1364,0.02274071986,6.163269621,0,0,0,0.6920821114,80,0,0,0,0,0,0,0,0,0,0,1
2046,0.03463947783,6.170876602,0,0,0,0.6329423265,80,0,0,0,0,0,0,0,0,0,0,1
1344,0.0212942772,6.163171233,0,0,0,0.7194940476,80,0,0,0,0,0,0,0,0,0,0,1
1279,0.02481031616,6.095339664,0,0,0,0.7130570758,80,0,2,0,0,0,0,0,0,0,0,1
1621,0.03008735653,6.116520545,0,0,0,0.6785934608,90,0,0,0,0,0,0,0,0,0,0,1
1377,0.0239334752,6.148466916,0,0,0,0.7087872186,80,0,1,0,0,0,0,0,0,0,0,1
1576,0.02587059866,6.129309049,0,0,0,0.6744923858,80,0,0,0,0,0,0,0,0,0,0,1
1645,0.02648740192,6.098285689,0,0,0,0.6705167173,80,0,0,0,0,0,0,0,0,0,0,1
1235,0.02444504229,6.147209354,0,0,0,0.6987854251,88,0,0,0,0,0,0,0,0,0,0,1
1564,0.02545190654,6.141887023,0,0,0,0.6854219949,80,0,0,0,0,0,0,0,0,0,0,1
90514,0.02116723554,5.741343997,0,0,0,0.3327882979,90192,0,0,0,0,0,0,0,0,0,0,1
83073,0.01503991514,6.069812414,5,0,1,0.5582439541,108,0,0,0,1,8,0,0,0,0,0,1
83073,0.01503991514,6.069812414,5,0,1,0.5582439541,108,0,0,0,1,8,0,0,0,0,0,1
90514,0.02116723554,5.741343997,0,0,0,0.3327882979,90192,0,0,0,0,0,0,0,0,0,0,1
83073,0.01503991514,6.069812414,5,0,1,0.5582439541,108,0,0,0,1,8,0,0,0,0,0,1
83073,0.01503991514,6.069812414,5,0,1,0.5582439541,108,0,0,0,1,8,0,0,0,0,0,1
1521,0.01992889027,6.206551047,0,0,0,0.7120315582,84,0,0,0,0,0,0,0,0,0,0,1
1458,0.02624386506,6.098630051,0,0,0,0.7160493827,86,0,0,0,0,0,0,0,0,0,0,1
1513,0.02836964998,6.15085638,0,0,0,0.6966292135,89,0,0,0,0,0,0,0,0,0,0,1
1391,0.02734640469,6.093770135,0,0,0,0.6671459382,80,0,2,0,0,0,0,0,0,0,0,1
1209,0.02473309998,6.133369323,0,0,0,0.7088502895,86,0,0,0,0,0,0,0,0,0,0,1
1463,0.03276815344,6.156034274,0,0,0,0.6602870813,80,0,0,0,0,0,0,0,0,0,0,1
1386,0.03501232021,6.132970433,0,0,0,0.6587301587,80,0,0,0,0,0,0,0,0,0,0,1
1550,0.03634061517,6.056743578,0,0,0,0.6490322581,92,0,4,0,0,0,0,0,0,0,0,1
1392,0.02302052604,6.177963172,0,0,0,0.6925287356,87,0,1,0,0,0,0,0,0,0,0,1
1281,0.02541349532,6.073492988,0,0,0,0.7041373927,80,0,0,0,0,0,0,0,0,0,0,1
1775,0.03388221097,6.154077003,0,0,0,0.6507042254,86,0,0,0,0,0,0,0,0,0,0,1
1681,0.03574048894,6.152823176,0,0,0,0.6525877454,80,0,0,0,0,0,0,0,0,0,0,1
1832,0.02385529181,6.158363384,0,0,0,0.6834061135,80,0,0,0,0,0,0,0,0,0,0,1
1559,0.03073379878,6.166791933,0,0,0,0.6510583708,81,0,1,0,0,0,0,0,0,0,0,1
1577,0.02592147913,6.160868005,0,0,0,0.6797717185,80,0,2,0,0,0,0,0,0,0,0,1
1429,0.02847577099,6.075703131,0,0,0,0.6745976207,80,0,0,0,0,0,0,0,0,0,0,1
1364,0.02274071986,6.163269621,0,0,0,0.6920821114,80,0,0,0,0,0,0,0,0,0,0,1
2046,0.03463947783,6.170876602,0,0,0,0.6329423265,80,0,0,0,0,0,0,0,0,0,0,1
1344,0.0212942772,6.163171233,0,0,0,0.7194940476,80,0,0,0,0,0,0,0,0,0,0,1
1279,0.02481031616,6.095339664,0,0,0,0.7130570758,80,0,2,0,0,0,0,0,0,0,0,1
1621,0.03008735653,6.116520545,0,0,0,0.6785934608,90,0,0,0,0,0,0,0,0,0,0,1
1377,0.0239334752,6.148466916,0,0,0,0.7087872186,80,0,1,0,0,0,0,0,0,0,0,1
1576,0.02587059866,6.129309049,0,0,0,0.6744923858,80,0,0,0,0,0,0,0,0,0,0,1
1429,0.02847577099,6.075703131,0,0,0,0.6745976207,80,0,0,0,0,0,0,0,0,0,0,1
1364,0.02274071986,6.163269621,0,0,0,0.6920821114,80,0,0,0,0,0,0,0,0,0,0,1
2046,0.03463947783,6.170876602,0,0,0,0.6329423265,80,0,0,0,0,0,0,0,0,0,0,1
1344,0.0212942772,6.163171233,0,0,0,0.7194940476,80,0,0,0,0,0,0,0,0,0,0,1
1279,0.02481031616,6.095339664,0,0,0,0.7130570758,80,0,2,0,0,0,0,0,0,0,0,1
1645,0.02648740192,6.098285689,0,0,0,0.6705167173,80,0,0,0,0,0,0,0,0,0,0,1
1235,0.02444504229,6.147209354,0,0,0,0.6987854251,88,0,0,0,0,0,0,0,0,0,0,1
1564,0.02545190654,6.141887023,0,0,0,0.6854219949,80,0,0,0,0,0,0,0,0,0,0,1
6604,0.04949235214,5.124984605,0,0,0,0.3765899455,65,0,0,0,0,10,0,0,0,0,0,0
111979,0.05642340203,4.954924076,4,0,0,0.297421838,46,0,0,0,0,0,0,0,0,0,0,0
6126643,0.03370343646,5.310061357,0,0,0,0.1258202902,20261,0,0,0,0,0,0,0,0,0,0,0
57,0.1215538847,3.904009835,0,0,0,0.8596491228,14,0,0,0,0,0,0,0,0,0,0,0
11956,0.2023522894,5.181774592,2,0,0,0.1860990298,98,0,0,0,0,0,0,0,0,0,0,0
1481,0.04847984379,5.249385121,0,0,0,0.5111411209,53,0,0,0,0,0,0,0,0,0,0,0
720,0.03529207232,5.305433711,0,0,0,0.5541666667,40,0,0,0,0,0,0,0,0,0,0,0
358698,0.2210850462,5.087969074,0,0,0,0.07490144913,54,0,0,0,0,0,0,0,0,0,0,0
8196,0.7922837999,1.029462622,0,0,0,0.07186432406,2039,0,0,0,0,0,0,0,0,0,0,0
317,0.05225012978,4.574963637,0,0,0,0.6813880126,24,0,0,0,0,0,0,0,0,0,0,0
352,0.03506216006,5.48344853,0,0,0,0.6931818182,66,0,0,0,0,0,0,0,0,0,0,0
174,0.0574048236,4.221900108,0,0,0,0.6954022989,21,0,0,0,0,0,0,0,0,0,0,0
53,0.03483309144,4.395164661,0,0,0,1.094339623,27,0,0,0,0,0,0,0,0,0,0,0
6149,0.0528333841,5.291799071,0,0,0,0.4007155635,254,0,0,0,0,0,0,0,0,0,0,0
6112,0.05303285381,5.290935962,0,0,0,0.3993782723,254,0,0,0,0,0,0,0,0,0,0,0
13816,0.0636454694,5.032066195,0,0,0,0.2940069485,39,0,0,0,0,7,0,0,0,0,0,0
50457,0.06126881939,5.043305752,0,0,0,0.2615098004,75,0,0,0,0,15,0,0,0,0,0,0
1701,0.0814738735,4.62149726,0,0,0,0.3262786596,24,0,0,0,0,4,0,0,0,0,0,0
13664,0.05649584015,5.024058514,0,0,0,0.300131733,89,0,0,0,0,4,0,0,0,0,0,0
17509,0.06290679738,5.09060909,0,0,0,0.3138385973,53,0,0,0,0,7,0,0,0,0,0,0
2310,0.06748934622,5.090621718,0,0,0,0.3493506494,29,0,0,0,0,0,0,0,0,0,0,0
135327,0.05748753307,5.194981115,0,0,0,0.2959128629,86,0,0,0,0,62,0,0,0,0,0,0
21050,0.07330168302,5.024268451,0,0,0,0.2802850356,48,0,0,0,0,2,0,0,0,0,0,0
2487,0.07066997785,4.787282,0,0,0,0.4177724166,35,0,0,0,0,1,0,0,0,0,0,0
314865,0.06250273994,5.148466526,6,0,0,0.2856081178,105,0,5,0,0,73,0,0,0,0,0,0
97368,0.06779177803,5.026689756,0,0,0,0.2431394298,69,0,0,0,0,10,0,0,0,0,0,0
4872,0.07490883851,5.056720739,0,0,0,0.3421592775,38,0,0,0,0,2,0,0,0,0,0,0
10139,0.06427172463,5.394024596,3,0,0,0.3793273498,46,0,0,0,0,3,0,0,0,0,0,0
629,0.05978046237,4.997643585,0,0,0,0.4944356121,19,0,0,0,0,0,0,0,0,0,0,0
2911,0.06685672665,5.105814037,0,0,0,0.3366540708,48,0,0,0,0,0,0,0,0,0,0,0
18976,0.06147935332,5.398767165,0,0,0,0.2406724283,57,0,0,0,0,0,0,0,0,0,0,0
8212,0.06328557387,5.305842499,2,0,0,0.3611787628,47,0,0,0,0,2,0,0,0,0,0,0
7134,0.07266954105,5.481337354,0,0,0,0.3514157555,48,0,0,0,0,0,0,0,0,0,0,0
7872,0.07099847722,5.11264198,0,0,0,0.3114837398,65,0,0,0,0,0,0,0,0,0,0,0
23051,0.0625812141,5.314222876,0,0,0,0.236519023,67,0,1,0,0,0,0,0,0,0,0,0
3457,0.07768758236,4.960504699,0,0,0,0.4055539485,39,0,0,0,0,0,0,0,0,0,0,0
13990,0.07224245579,5.217003932,0,0,0,0.2383130808,73,0,0,0,0,0,0,0,0,0,0,0
57426,0.07105043486,5.044967231,0,0,0,0.1941803364,69,0,1,0,0,0,0,0,0,0,0,0
27370,0.07250823276,4.99765602,0,0,0,0.2552064304,48,0,0,0,0,0,0,0,0,0,0,0
50742,0.06878315774,5.092762113,0,0,0,0.2089787553,53,0,0,0,0,8,0,0,0,0,0,0
18047,0.07182058968,5.222321241,1,0,0,0.3064775309,55,0,0,0,0,1,0,0,0,0,0,0
1625,0.05220841228,5.010401343,0,0,0,0.4498461538,45,0,0,0,0,0,0,0,0,0,0,0
4506,0.06163620537,5.201038753,0,0,0,0.3521970706,59,0,0,0,0,0,0,0,0,0,0,0
23402,0.06764362861,5.250334895,0,0,0,0.2306640458,51,0,4,0,0,0,0,0,0,0,0,0
404,0.05427118394,4.936432346,0,0,0,0.6163366337,18,0,0,0,0,0,0,0,0,0,0,0
4506,0.08319995586,4.780246865,0,0,0,0.1227252552,29,0,0,0,0,3,0,0,0,0,0,0
49955,0.07244017634,5.028948417,0,0,0,0.2288259433,65,0,0,0,0,7,0,0,0,0,0,0
10875,0.05289338483,5.336360301,0,0,0,0.3315862069,60,0,0,0,0,2,0,0,0,0,0,0
91844,0.05989841253,5.111684625,2,0,0,0.2492705022,74,0,1,0,0,18,0,0,0,0,0,0
24372,0.09797035006,5.061305661,0,0,0,0.2426144756,75,0,0,0,0,0,0,0,0,0,0,0
12009,0.06726553464,5.010452397,0,0,0,0.2787076359,46,0,0,0,0,0,0,0,0,0,0,0
4790,0.05773704614,5.106021522,0,0,0,0.2818371608,49,0,0,0,0,2,0,0,0,0,0,0
2777,0.05839315124,5.040061787,0,0,0,0.2657544112,46,0,0,0,0,0,0,0,0,0,0,0
4129,0.05392949942,5.130220834,15,0,0,0.2639864374,43,0,0,0,0,15,0,0,0,0,0,0
200350,0.0623127633,5.007768668,0,0,0,0.2532468181,72,0,0,0,0,24,0,0,0,0,0,0
4828,0.06735208899,4.93018031,0,0,0,0.3241507871,40,0,0,0,0,0,0,0,0,0,0,0
13416,0.05983483098,5.00750128,0,0,0,0.2827966607,36,0,0,0,0,3,0,0,0,0,0,0
79839,0.05935323399,5.039553499,1,0,0,0.2527586768,65,0,0,0,0,29,0,0,0,0,0,0
44345,0.06350754046,5.238574737,1,0,0,0.279558011,61,0,0,0,0,37,0,0,0,0,0,0
15570,0.07403782278,4.894180087,0,0,0,0.3299935774,49,0,0,0,0,0,0,0,0,0,0,0
3188,0.09561073669,5.40278777,0,0,0,0.3641781681,37,0,0,0,0,0,0,0,0,0,0,0
19472,0.05615765848,5.00630441,0,0,0,0.2657148726,68,0,0,0,0,2,0,0,0,0,0,0
86449,0.06435979724,5.281538801,0,0,0,0.2580249627,97,0,0,0,0,12,0,0,0,0,0,0
9425,0.06816386178,4.976069115,0,0,0,0.3658355438,52,0,0,0,0,3,0,0,0,0,0,0
23243,0.06696792936,5.155430349,4,0,0,0.3402744912,49,0,0,0,0,20,0,0,0,0,0,0
141771,0.06593022355,5.138361804,0,0,0,0.2579653103,64,0,0,0,0,49,0,0,0,0,0,0
43657,0.0662821897,5.014717856,0,0,0,0.2630276932,54,0,0,0,0,54,0,0,0,0,0,0
22554,0.06790790567,5.002075989,0,0,0,0.2556530992,48,0,0,0,0,0,0,0,0,0,0,0
9521,0.05556167746,5.236562728,0,0,0,0.3216048734,68,0,0,0,0,0,0,0,0,0,0,0
20806,0.06218901463,5.19258379,0,0,0,0.2747765068,54,0,0,0,0,30,0,0,0,0,0,0
6512,0.06488636505,5.072642383,0,0,0,0.3541154791,88,0,0,0,0,2,0,0,0,0,0,0
4148,0.0619556515,5.140796085,0,0,0,0.2823047252,69,0,0,0,0,0,0,0,0,0,0,0
18384,0.06203619892,5.070132321,0,0,0,0.2819843342,57,0,0,0,0,1,0,0,0,0,0,0
28238,0.064126187,5.209590251,2,0,0,0.2460514201,58,0,0,0,0,4,0,0,0,0,0,0
7447,0.06619520356,4.962816151,0,0,0,0.2870954747,35,0,0,0,0,0,0,0,0,0,0,0
114782,0.06631587146,5.02666692,0,0,0,0.2578365946,62,0,1,0,0,45,0,0,0,0,0,0
7070,0.05575628234,5.071653088,0,0,0,0.331824611,48,0,0,0,0,16,0,0,0,0,0,0
9864,0.0665372497,4.89464122,0,0,0,0.3156934307,38,0,0,0,0,3,0,0,0,0,0,0
5487,0.10282882,4.333828385,0,0,0,0.2977947877,47,0,0,0,0,0,0,0,0,0,0,0
22755,0.04776025337,5.575350016,1,0,0,0.3180399912,75,0,0,0,0,10,0,0,0,0,0,0
59416,0.06837418159,5.12366625,1,0,0,0.2598458328,64,0,2,0,0,68,0,0,0,0,0,0
13675,0.072699782,4.960747122,0,0,0,0.2668372943,76,0,0,0,0,3,0,0,0,0,0,0
1991,0.0693139227,5.169081873,0,0,0,0.4279256655,25,0,0,0,0,0,0,0,0,0,0,0
18828,0.05457576223,5.232420793,1,0,0,0.2659868281,83,0,2,0,0,3,0,0,0,0,0,0
11833,0.05989439636,5.172518365,0,0,0,0.2833600947,61,0,0,0,0,17,0,0,0,0,0,0
529,0.0428696225,5.081249848,0,0,0,0.6370510397,40,0,0,0,0,0,0,0,0,0,0,0
1717,0.05197578581,4.985429285,0,0,0,0.498543972,26,0,0,0,0,0,0,0,0,0,0,0
1874,0.06409625977,4.848170362,0,0,0,0.4429028815,30,0,0,0,0,0,0,0,0,0,0,0
703,0.04307141149,5.149127129,0,0,0,0.6102418208,44,0,0,0,0,1,0,0,0,0,0,0
1298,0.05834015442,4.734815221,0,0,0,0.4845916795,30,0,0,0,0,0,0,0,0,0,0,0
17995,0.06160781636,4.788193074,1,0,0,0.3403167547,54,0,0,0,0,0,0,0,0,0,0,0
18092,0.06378881972,4.839589566,0,0,0,0.3767963741,16,0,0,0,0,0,0,0,0,0,0,0
8710,0.03998676492,4.935553952,0,0,0,0.254075775,50,0,0,0,0,0,0,0,0,0,0,0
25035,0.06294923147,5.030560523,3,0,0,0.311244258,83,0,0,0,0,0,0,0,0,0,0,0
118,0.06863226863,4.658360358,0,0,0,0.9915254237,43,0,0,0,0,0,0,0,0,0,0,0
118,0.06605562579,4.782254519,0,0,0,0.9830508475,43,0,0,0,0,0,0,0,0,0,0,0
968,0.04765099524,4.825597796,0,0,0,0.4369834711,79,0,0,0,0,0,0,0,0,0,0,0
8426,0.05893100415,5.124749091,0,0,0,0.3201993829,52,0,0,0,0,0,0,0,0,0,0,0
939,0.063902305,5.014551234,0,0,0,0.4728434505,56,0,0,0,0,0,0,0,0,0,0,0
3323,0.0721251533,5.019248994,0,0,0,0.3520914836,53,0,0,0,0,0,0,0,0,0,0,0
20219,0.05998534075,5.099675184,0,0,0,0.3423512538,87,0,0,0,0,0,0,0,0,0,0,0
576,0.04501811594,4.924763845,0,0,0,0.4131944444,15,0,0,0,0,0,0,0,0,0,0,0
4068,0.02973352685,5.417139301,0,0,0,0.3876597837,162,0,0,0,0,0,0,0,0,0,0,0
2460,0.06209378523,4.987398203,0,0,0,0.4020325203,60,0,0,0,0,0,0,0,0,0,0,0
4119,0.02546933913,5.624449874,0,0,0,0.5008497208,307,0,0,0,0,0,0,0,0,0,0,0
961,0.03052809573,5.328447545,0,0,0,0.5650364204,82,0,0,0,0,0,0,0,0,0,0,0
9913,0.03350340456,5.278778004,0,0,0,0.3961464743,199,0,0,0,0,0,0,0,0,0,0,0
78602,0.03203719506,5.354089102,22,0,0,0.3447240528,421,0,0,0,0,0,0,0,0,0,0,0
2974,0.08333599119,4.806202139,0,0,0,0.354404842,50,0,0,0,0,0,0,0,0,0,0,0
5114,0.08163651649,4.976578241,0,0,0,0.3107156824,41,0,0,0,0,0,0,0,0,0,0,0
126,0.07779226423,4.6974212,0,0,0,0.9841269841,64,0,0,0,0,0,0,0,0,0,0,0
291,0.04882095035,4.845975766,0,0,0,0.6219931271,17,0,0,0,0,0,0,0,0,0,0,0
56,0.05454545455,4.128376106,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0
3112,0.05750161753,5.092524814,0,0,0,0.3823907455,44,0,0,0,0,0,0,0,0,0,0,0
17504,0.07510163967,4.844880868,0,0,0,0.3027879342,66,0,0,0,0,0,0,0,0,0,0,0
42783,0.06616021692,5.064115788,0,0,0,0.2611083842,90,0,0,0,0,0,0,0,0,0,0,0
5330,0.05551583833,5.010669765,1,0,0,0.3444652908,64,0,0,0,0,0,0,0,0,0,0,0
3933,0.06566473683,4.850307654,0,0,0,0.3480803458,66,0,0,0,0,0,0,0,0,0,0,0
920,0.0651109429,4.92604491,0,0,0,0.4413043478,56,0,0,0,0,0,0,0,0,0,0,0
2558,0.08563745814,5.029668198,0,0,0,0.3964034402,28,0,0,0,0,0,0,0,0,0,0,0
129,0.06788710908,4.668665829,0,0,0,1,92,0,0,0,0,0,0,0,0,0,0,0
180,0.07014431992,4.01296717,0,0,0,0.6,111,0,0,0,0,0,0,0,0,0,0,0
120,0.0547981823,3.924366027,0,0,0,1.041666667,33,0,0,0,0,0,0,0,0,0,0,0
119,0.06052782559,3.736096385,0,0,0,1.042016807,22,0,0,0,0,0,0,0,0,0,0,0
101,0.07724764687,3.898710856,0,0,0,1.02970297,23,0,0,0,0,0,0,0,0,0,0,0
871,0.03239241458,5.255843809,0,0,0,0.5843857635,88,0,0,0,0,0,0,0,0,0,0,0
1672,0.03141616486,5.287490279,0,0,0,0.4336124402,158,0,0,0,0,0,0,0,0,0,0,0
1062,0.03242508311,5.26105369,0,0,0,0.5583804143,100,0,0,0,0,0,0,0,0,0,0,0
10829,0.02963924907,5.4256936,5,0,0,0.3304090867,169,0,0,0,0,0,0,0,0,0,0,0
1071,0.03242318734,5.242989812,0,0,0,0.5546218487,122,0,0,0,0,0,0,0,0,0,0,0
1644,0.03255127926,5.259845174,0,0,0,0.4549878345,213,0,0,0,0,0,0,0,0,0,0,0
577,0.03400009628,5.193661973,0,0,0,0.6204506066,53,0,0,0,0,0,0,0,0,0,0,0
1129,0.02968955141,5.376340122,1,0,0,0.5713020372,81,0,0,0,0,0,0,0,0,0,0,0
914,0.03179457436,5.255130714,0,0,0,0.5656455142,86,0,0,0,0,0,0,0,0,0,0,0
951,0.03315955504,5.263013468,0,0,0,0.5383806519,180,0,0,0,0,0,0,0,0,0,0,0
3924,0.038199146,5.070288686,0,0,0,0.3463302752,156,0,0,0,0,0,0,0,0,0,0,0
